Column1,n_comp,freq,threshold,sd,subj,task,run
638,3,High,0.625,0.6731456,x46,Control,12
643,3,Low,-9.5,1.5411035,x49,Control,1
660,3,Low,-1.25,2.1937411,x49,Control,2
668,3,Low,-3.125,3.04394892,x49,Control,3
679,3,Low,-4.25,0.55901699,x49,Control,4
685,3,Low,1.25,1.36930639,x49,Control,5
698,3,Low,-4.5,0.93541435,x49,Control,6
701,3,Low,-9.5,1.3462912,x49,Control,7
715,3,Low,-6.125,0.91001374,x49,Control,8
721,3,Low,-10.375,1.28086885,x49,Control,9
732,3,Low,-8.0,1.6583124,x49,Control,10
744,3,Low,-4.125,1.17924764,x49,Control,11
757,3,Low,-3.75,0.55901699,x49,Control,12
648,3,High,2.75,1.62018517,x49,Control,1
652,3,High,0.375,1.00778222,x49,Control,2
669,3,High,3.625,2.09538183,x49,Control,3
678,3,High,-4.875,0.80039053,x49,Control,4
683,3,High,4.75,0.55901699,x49,Control,5
692,3,High,-4.75,2.77263413,x49,Control,6
705,3,High,3.875,0.9437293,x49,Control,7
714,3,High,9.25,0.61237244,x49,Control,8
728,3,High,2.0,2.20794022,x49,Control,9
737,3,High,6.125,1.77218086,x49,Control,10
746,3,High,4.0,1.47901995,x49,Control,11
754,3,High,1.0,1.03077641,x49,Control,12
769,3,Low,-6.625,0.71807033,x50,Control,1
779,3,Low,-4.0,0.96824584,x50,Control,2
788,3,Low,2.25,0.55901699,x50,Control,3
793,3,Low,-1.5,3.86490621,x50,Control,4
802,3,Low,-1.625,2.30827316,x50,Control,5
816,3,Low,-2.375,0.80039053,x50,Control,6
829,3,Low,-4.25,1.03077641,x50,Control,7
832,3,Low,-6.75,0.55901699,x50,Control,8
844,3,Low,0.5,1.06066017,x50,Control,9
851,3,Low,-1.375,0.375,x50,Control,10
865,3,Low,0.0,0.55901699,x50,Control,11
879,3,Low,-3.0,1.47901995,x50,Control,12
765,3,High,-2.375,1.09687055,x50,Control,1
773,3,High,3.25,1.03077641,x50,Control,2
783,3,High,13.0,0.0,x50,Control,3
800,3,High,13.0,0.0,x50,Control,4
804,3,High,13.0,0.0,x50,Control,5
819,3,High,-0.125,0.5153882,x50,Control,6
824,3,High,2.25,0.93541435,x50,Control,7
834,3,High,-4.0,2.73861279,x50,Control,8
847,3,High,3.375,1.17924764,x50,Control,9
859,3,High,7.375,0.5153882,x50,Control,10
861,3,High,4.125,0.80039053,x50,Control,11
877,3,High,-1.25,0.55901699,x50,Control,12
885,3,Low,3.5,0.61237244,x51,Control,1
893,3,Low,-3.25,0.61237244,x51,Control,2
909,3,Low,0.0,0.55901699,x51,Control,3
911,3,Low,-4.0,1.43614066,x51,Control,4
930,3,Low,-11.125,0.375,x51,Control,5
937,3,Low,-6.75,2.79508497,x51,Control,6
947,3,Low,-10.25,0.8291562,x51,Control,7
954,3,Low,-6.75,0.55901699,x51,Control,8
967,3,Low,-10.0,1.36930639,x51,Control,9
980,3,Low,-5.625,0.6731456,x51,Control,10
983,3,Low,-4.125,0.80039053,x51,Control,11
992,3,Low,-11.875,0.71807033,x51,Control,12
883,3,High,-2.125,0.71807033,x51,Control,1
900,3,High,-6.375,2.98171511,x51,Control,2
903,3,High,-3.875,0.91001374,x51,Control,3
920,3,High,2.625,1.00778222,x51,Control,4
926,3,High,3.375,2.00390244,x51,Control,5
935,3,High,1.125,1.17924764,x51,Control,6
950,3,High,-7.25,1.11803399,x51,Control,7
957,3,High,-10.5,1.11803399,x51,Control,8
968,3,High,-1.875,0.6731456,x51,Control,9
971,3,High,-8.25,0.55901699,x51,Control,10
985,3,High,-5.75,1.11803399,x51,Control,11
998,3,High,-1.75,0.61237244,x51,Control,12
1002,3,Low,-6.0,1.19895788,x52,Control,1
1012,3,Low,-5.5,1.93649167,x52,Control,2
1029,3,Low,-5.75,1.76776695,x52,Control,3
1031,3,Low,-4.25,1.11803399,x52,Control,4
1042,3,Low,-6.875,0.5153882,x52,Control,5
1059,3,Low,-5.25,0.70710678,x52,Control,6
1069,3,Low,-6.25,1.5612495,x52,Control,7
1077,3,Low,-5.875,0.71807033,x52,Control,8
1089,3,Low,-12.25,0.61237244,x52,Control,9
1099,3,Low,-8.875,0.9437293,x52,Control,10
1101,3,Low,-10.5,0.93541435,x52,Control,11
1114,3,Low,-7.0,1.83711731,x52,Control,12
1008,3,High,-0.75,1.19895788,x52,Control,1
1018,3,High,-5.125,1.03832798,x52,Control,2
1023,3,High,-5.5,0.61237244,x52,Control,3
1037,3,High,-1.75,1.43614066,x52,Control,4
1047,3,High,-5.625,0.5153882,x52,Control,5
1054,3,High,-4.875,2.46538537,x52,Control,6
1063,3,High,6.125,0.375,x52,Control,7
1071,3,High,-5.75,1.27475488,x52,Control,8
1087,3,High,-3.0,1.3462912,x52,Control,9
1095,3,High,-3.0,2.76134025,x52,Control,10
1102,3,High,3.0,1.41421356,x52,Control,11
1119,3,High,-4.5,0.55901699,x52,Control,12
