"","freq","threshold","sd","subj","task"
"388","High",0,0,"x17","Task"
"389","High",0,0,"x17","Task"
"390","Low",0,0,"x17","Task"
"391","Low",-1,1,"x17","Task"
"392","High",0,0,"x17","Task"
"393","High",0,0,"x17","Task"
"394","Low",0,0,"x17","Task"
"395","Low",0,0,"x17","Task"
"396","High",0,0,"x17","Task"
"397","Low",-2.66666667,1.49071198,"x18","Task"
"398","High",0,0,"x18","Task"
"399","High",0,0,"x18","Task"
"400","Low",-3,2.51661148,"x18","Task"
"401","High",0,0,"x18","Task"
"402","Low",0,0,"x18","Task"
"403","High",0,0,"x18","Task"
"404","Low",-1.33333333,1.49071198,"x18","Task"
"405","Low",-3,1,"x18","Task"
"406","High",0,0,"x18","Task"
"407","Low",-2.33333333,1.79505494,"x18","Task"
"408","High",0,0,"x18","Task"
"409","Low",0,0,"x20","Task"
"410","High",0,0,"x20","Task"
"411","Low",0,0,"x20","Task"
"412","High",0,0,"x20","Task"
"413","High",0,0,"x20","Task"
"414","Low",0,0,"x20","Task"
"415","Low",0,0,"x20","Task"
"416","High",0,0,"x20","Task"
"417","High",0,0,"x20","Task"
"418","Low",0,0,"x20","Task"
"419","High",0,0,"x20","Task"
"420","Low",-7.33333333,1.88561808,"x20","Task"
"421","Low",-6.33333333,2.13437475,"x25","Task"
"422","High",-2.66666667,2.74873708,"x25","Task"
"423","High",-3.33333333,2.49443826,"x25","Task"
"424","Low",-4,2.82842712,"x25","Task"
"425","High",-1.33333333,1.49071198,"x25","Task"
"426","Low",-4,2.5819889,"x25","Task"
"427","High",0,0,"x25","Task"
"428","Low",-5.33333333,1.49071198,"x25","Task"
"429","Low",-3.66666667,1.79505494,"x25","Task"
"430","High",0,0,"x25","Task"
"431","Low",-5.33333333,1.49071198,"x25","Task"
"432","High",-2,2.30940108,"x25","Task"
"433","Low",0,0,"x28","Task"
"434","High",0,0,"x28","Task"
"435","Low",0,0,"x28","Task"
"436","High",0,0,"x28","Task"
"437","Low",0,0,"x28","Task"
"438","High",0,0,"x28","Task"
"439","Low",0,0,"x28","Task"
"440","High",0,0,"x28","Task"
"441","High",0,0,"x28","Task"
"442","Low",0,0,"x28","Task"
"443","High",0,0,"x28","Task"
"444","Low",-2,1.63299316,"x28","Task"
"445","Low",-9,1.91485422,"x29","Task"
"446","High",-6.66666667,3.59010987,"x29","Task"
"447","High",-2.66666667,2.49443826,"x29","Task"
"448","Low",-10,2.5819889,"x29","Task"
"449","High",0,0,"x29","Task"
"450","Low",-9.33333333,2.21108319,"x29","Task"
"451","High",0,0,"x29","Task"
"452","Low",-9.66666667,2.13437475,"x29","Task"
"453","High",-1.33333333,1.49071198,"x29","Task"
"454","Low",-8,1.63299316,"x29","Task"
"455","Low",-9,2.51661148,"x29","Task"
"456","High",-3.33333333,2.49443826,"x29","Task"
"457","Low",-9.33333333,1.49071198,"x32","Task"
"458","High",0,0,"x32","Task"
"459","High",0,0,"x32","Task"
"460","Low",-10.66666667,1.49071198,"x32","Task"
"461","Low",-7.66666667,1.37436854,"x32","Task"
"462","High",0,0,"x32","Task"
"463","High",0,0,"x32","Task"
"464","Low",-8.33333333,1.79505494,"x32","Task"
"465","Low",-9,1,"x32","Task"
"466","High",0,0,"x32","Task"
"467","High",0,0,"x32","Task"
"468","Low",-7,1,"x32","Task"
"469","Low",0,0,"x33","Task"
"470","High",0,0,"x33","Task"
"471","High",0,0,"x33","Task"
"472","Low",0,0,"x33","Task"
"473","High",0,0,"x33","Task"
"474","Low",0,0,"x33","Task"
"475","High",0,0,"x33","Task"
"476","Low",0,0,"x33","Task"
"477","Low",0,0,"x33","Task"
"478","High",0,0,"x33","Task"
"479","High",0,0,"x33","Task"
"480","Low",0,0,"x33","Task"
"481","Low",0,0,"x34","Task"
"482","High",-1.66666667,1.79505494,"x34","Task"
"483","High",0,0,"x34","Task"
"484","Low",-4.33333333,1.79505494,"x34","Task"
"485","High",0,0,"x34","Task"
"486","Low",-6,1.63299316,"x34","Task"
"487","High",-1.33333333,1.49071198,"x34","Task"
"488","Low",-4.33333333,2.68741925,"x34","Task"
"489","Low",-5.33333333,3.19722102,"x34","Task"
"490","High",-3,2.51661148,"x34","Task"
"491","Low",-5.66666667,1.79505494,"x34","Task"
"492","High",0,0,"x34","Task"
"493","Low",-7.66666667,2.13437475,"x35","Task"
"494","High",-3.66666667,2.13437475,"x35","Task"
"495","High",-1.33333333,1.49071198,"x35","Task"
"496","Low",-10.66666667,1.88561808,"x35","Task"
"497","Low",-10.33333333,1.79505494,"x35","Task"
"498","High",-3.33333333,1.49071198,"x35","Task"
"499","High",0,0,"x35","Task"
"500","Low",-10.33333333,1.37436854,"x35","Task"
"501","Low",-9.33333333,1.49071198,"x35","Task"
"502","High",-1.33333333,1.49071198,"x35","Task"
"503","High",0,0,"x35","Task"
"504","Low",-9,1,"x35","Task"
"505","High",0,0,"x36","Task"
"506","Low",-6.33333333,3.14466038,"x36","Task"
"507","Low",-5,3,"x36","Task"
"508","High",0,0,"x36","Task"
"509","High",0,0,"x36","Task"
"510","Low",-5.33333333,2.21108319,"x36","Task"
"511","High",0,0,"x36","Task"
"512","Low",-8.33333333,1.37436854,"x36","Task"
"513","Low",0,0,"x36","Task"
"514","High",0,0,"x36","Task"
"515","Low",-4,2.5819889,"x36","Task"
"516","High",0,0,"x36","Task"
"517","Low",0,0,"x37","Task"
"518","High",0,0,"x37","Task"
"519","Low",0,0,"x37","Task"
"520","High",0,0,"x37","Task"
"521","High",0,0,"x37","Task"
"522","Low",0,0,"x37","Task"
"523","Low",0,0,"x37","Task"
"524","High",0,0,"x37","Task"
"525","High",0,0,"x37","Task"
"526","Low",0,0,"x37","Task"
"527","Low",0,0,"x37","Task"
"528","High",0,0,"x37","Task"
"529","High",0,0,"x38","Task"
"530","Low",-9,2.76887462,"x38","Task"
"531","Low",-3.33333333,1.49071198,"x38","Task"
"532","High",-4,3.05505046,"x38","Task"
"533","High",0,0,"x38","Task"
"534","Low",0,0,"x38","Task"
"535","Low",-2,1.63299316,"x38","Task"
"536","High",0,0,"x38","Task"
"537","Low",-3,2.51661148,"x38","Task"
"538","High",0,0,"x38","Task"
"539","Low",-1,1,"x38","Task"
"540","High",0,0,"x38","Task"
"541","High",0,0,"x39","Task"
"542","Low",-9.33333333,2.49443826,"x39","Task"
"543","High",-1.33333333,1.49071198,"x39","Task"
"544","Low",-1.66666667,2.13437475,"x39","Task"
"545","Low",-5.33333333,3.39934634,"x39","Task"
"546","High",0,0,"x39","Task"
"547","High",0,0,"x39","Task"
"548","Low",-6.66666667,3.94405319,"x39","Task"
"549","High",0,0,"x39","Task"
"550","Low",-9.33333333,2.21108319,"x39","Task"
"551","Low",-3.66666667,2.13437475,"x39","Task"
"552","High",0,0,"x39","Task"
"553","Low",-6.33333333,3.34995854,"x41","Task"
"554","High",0,0,"x41","Task"
"555","Low",-2.66666667,1.49071198,"x41","Task"
"556","High",0,0,"x41","Task"
"557","High",0,0,"x41","Task"
"558","Low",-3.33333333,1.49071198,"x41","Task"
"559","High",-2.66666667,2.49443826,"x41","Task"
"560","Low",-7.33333333,2.21108319,"x41","Task"
"561","Low",-7.33333333,2.98142397,"x41","Task"
"562","High",-1.66666667,1.79505494,"x41","Task"
"563","High",0,0,"x41","Task"
"564","Low",-5.33333333,2.49443826,"x41","Task"
"565","High",0,0,"x43","Task"
"566","Low",0,0,"x43","Task"
"567","Low",0,0,"x43","Task"
"568","High",0,0,"x43","Task"
"569","High",0,0,"x43","Task"
"570","Low",0,0,"x43","Task"
"571","High",0,0,"x43","Task"
"572","Low",0,0,"x43","Task"
"573","High",0,0,"x43","Task"
"574","Low",0,0,"x43","Task"
"575","Low",0,0,"x43","Task"
"576","High",0,0,"x43","Task"
"577","Low",-14.66666667,2.21108319,"x99","Task"
"578","High",-8.33333333,2.13437475,"x99","Task"
"579","Low",-17,1,"x99","Task"
